age,employment_type,annual_income,credit_history_years,dependents,education_level,region,total_credit_limit,used_credit,credit_utilization,loan_count,avg_monthly_spend,total_monthly_debt,debt_to_income,savings_rate,missed_payments_12m,job_loss_flag,medical_expense_flag,income_drop_pct,risk_score,risk_class,default_12m
46,salaried,38525,23,2,high_school,rural,30379,16886,0.556,1,2027,350,0.109,0.369,0,0,0,0.04,0.05,low,0
44,salaried,55186,24,3,high_school,metro,42861,15622,0.364,3,2984,2364,0.514,0.351,0,0,1,0.07,0.05,low,0
41,self_employed,41255,6,0,high_school,metro,25289,9962,0.394,3,2307,546,0.159,0.329,0,0,0,0.03,0.05,low,0
31,self_employed,42719,6,3,post_graduate,rural,32828,18269,0.557,4,1959,602,0.169,0.45,0,0,0,0.02,0.05,low,0
42,self_employed,55700,18,2,graduate,metro,49564,13881,0.28,1,3405,2538,0.547,0.266,0,0,0,0.04,0.05,low,0
27,unemployed,40287,6,2,graduate,urban,27255,19003,0.697,1,2425,880,0.262,0.278,0,0,0,0.06,0.05,low,0
32,salaried,51329,5,3,graduate,metro,48389,19595,0.405,2,2946,2041,0.477,0.311,0,0,0,0.07,0.05,low,0
30,salaried,23229,3,0,graduate,urban,24973,18828,0.754,1,884,1259,0.65,0.543,0,0,0,0.06,0.65,high,1
35,salaried,66612,8,1,post_graduate,rural,29257,11799,0.403,1,3544,1609,0.29,0.362,1,0,0,0.1,0.05,low,0
58,salaried,59910,35,2,graduate,metro,42319,11100,0.262,0,2886,1149,0.23,0.422,0,0,0,0.07,0.05,low,0
18,self_employed,39793,1,0,high_school,urban,26550,15293,0.576,2,2140,543,0.164,0.355,0,0,0,0.09,0.05,low,0
41,salaried,83251,19,2,high_school,metro,76484,31828,0.416,2,5972,1236,0.178,0.139,2,0,0,0.01,0.35,medium,0
18,unemployed,95681,1,1,graduate,urban,50221,6353,0.127,1,5105,1095,0.137,0.36,0,0,0,0.01,0.05,low,0
30,salaried,26801,11,1,post_graduate,metro,23483,16961,0.722,1,908,340,0.152,0.593,1,0,0,0.03,0.05,low,0
45,unemployed,40889,24,2,graduate,metro,44558,20122,0.452,3,2110,1223,0.359,0.381,0,1,0,0.52,0.3,medium,1
35,salaried,40758,17,0,post_graduate,metro,27565,19257,0.699,2,2752,993,0.292,0.19,0,0,0,0.05,0.05,low,1
24,salaried,37423,5,1,post_graduate,metro,41910,17802,0.425,1,2463,1633,0.524,0.21,0,0,0,0.05,0.05,low,0
27,salaried,90647,3,0,high_school,rural,108218,22590,0.209,1,4960,4699,0.622,0.343,1,0,0,0.06,0.4,medium,0
41,salaried,54343,2,2,high_school,metro,21491,9679,0.45,1,2376,2585,0.571,0.475,3,0,0,0.07,0.35,medium,0
27,salaried,52456,8,2,high_school,metro,26739,12857,0.481,2,2765,1828,0.418,0.367,0,0,0,0.1,0.05,low,0
37,salaried,21983,19,2,graduate,urban,25397,6110,0.241,4,1249,295,0.161,0.318,0,1,0,0.33,0.3,medium,0
35,self_employed,82265,7,1,high_school,metro,95632,27806,0.291,1,6169,3604,0.526,0.1,0,0,0,0.01,0.05,low,0
28,salaried,32220,1,2,graduate,urban,12499,4524,0.362,0,1938,853,0.318,0.278,1,0,0,0.03,0.05,low,0
56,salaried,61695,6,2,graduate,rural,19341,13566,0.701,1,3841,778,0.151,0.253,1,0,0,0.03,0.05,low,0
41,salaried,68781,19,2,graduate,urban,30606,2328,0.076,2,3701,3470,0.605,0.354,2,0,0,0.02,0.7,high,1
18,self_employed,118223,1,0,high_school,rural,141443,48020,0.34,0,5686,2984,0.303,0.423,0,0,0,0.05,0.05,low,0
36,salaried,31119,6,1,graduate,urban,14376,9153,0.637,3,2091,598,0.231,0.194,0,0,1,0.06,0.05,low,0
28,salaried,13230,2,0,graduate,metro,9952,1348,0.135,1,713,686,0.622,0.353,0,0,0,0.02,0.4,medium,1
43,salaried,65638,6,3,graduate,urban,69810,66000,0.945,1,4908,3507,0.641,0.103,0,0,0,0.07,0.65,high,1
27,salaried,147304,7,0,post_graduate,urban,46895,27492,0.586,7,7715,3724,0.303,0.372,0,1,0,0.53,0.3,medium,1
33,self_employed,111243,5,0,high_school,urban,93893,15044,0.16,1,4023,2900,0.313,0.566,0,0,0,0.0,0.05,low,0
40,salaried,66491,19,2,post_graduate,rural,36525,14435,0.395,1,4107,2481,0.448,0.259,1,0,0,0.04,0.05,low,0
43,salaried,46825,20,0,graduate,urban,50388,11731,0.233,0,1651,2107,0.54,0.577,0,0,0,0.09,0.05,low,1
22,self_employed,89640,4,1,graduate,rural,49760,11764,0.236,5,3923,1030,0.138,0.475,0,1,0,0.33,0.3,medium,0
31,salaried,36799,6,1,graduate,urban,33784,14053,0.416,1,1769,1398,0.456,0.423,0,0,0,0.03,0.05,low,0
30,salaried,75976,10,1,graduate,urban,68894,3825,0.056,2,4873,4252,0.672,0.23,0,0,0,0.03,0.4,medium,0
28,salaried,77090,1,0,high_school,urban,38494,2705,0.07,0,4157,1652,0.257,0.353,1,0,1,0.02,0.05,low,0
52,unemployed,101732,13,1,graduate,metro,33705,14315,0.425,2,3512,5470,0.645,0.586,0,0,0,0.01,0.4,medium,0
39,salaried,237953,20,0,graduate,rural,159029,46927,0.295,2,14047,13287,0.67,0.292,0,0,0,0.08,0.4,medium,0
22,self_employed,72853,2,0,graduate,urban,40817,18497,0.453,4,3677,1587,0.261,0.394,0,0,0,0.01,0.05,low,0
44,salaried,46421,17,0,graduate,metro,47724,18652,0.391,2,3330,2137,0.552,0.139,0,0,1,0.03,0.05,low,0
56,salaried,59113,36,2,post_graduate,metro,60314,13215,0.219,2,3200,1198,0.243,0.35,1,0,0,0.0,0.05,low,0
45,salaried,24722,23,1,graduate,urban,17585,8834,0.502,2,1554,1117,0.542,0.246,0,0,0,0.08,0.05,low,0
19,unemployed,42304,1,3,high_school,metro,35783,15665,0.438,0,1795,2039,0.578,0.491,1,0,0,0.0,0.05,low,0
30,salaried,48793,12,3,graduate,metro,41173,36323,0.882,5,3173,1009,0.248,0.22,0,0,0,0.03,0.3,medium,1
47,self_employed,46071,14,2,post_graduate,urban,48118,13281,0.276,1,2919,2032,0.529,0.24,1,0,0,0.06,0.05,low,0
27,self_employed,64613,3,3,post_graduate,metro,44098,7488,0.17,6,4587,3162,0.587,0.148,1,0,0,0.04,0.05,low,0
39,salaried,39687,3,1,graduate,urban,21744,12711,0.585,3,1378,1042,0.315,0.583,0,0,0,0.03,0.05,low,0
42,salaried,104874,14,0,post_graduate,metro,56477,20590,0.365,3,5451,1753,0.201,0.376,0,0,0,0.03,0.05,low,0
25,salaried,59880,3,1,high_school,metro,46860,8939,0.191,2,3690,774,0.155,0.261,0,0,0,0.08,0.05,low,0
34,salaried,59596,12,1,graduate,urban,41969,18016,0.429,1,2222,2211,0.445,0.553,0,0,0,0.1,0.05,low,0
18,self_employed,50820,1,1,post_graduate,urban,35376,16239,0.459,5,2563,2908,0.687,0.395,0,0,0,0.03,0.4,medium,0
24,unemployed,64705,1,1,post_graduate,metro,24718,9404,0.38,0,4696,3201,0.594,0.129,2,0,0,0.0,0.35,medium,1
32,salaried,90449,10,0,graduate,metro,85631,41990,0.49,2,4657,2724,0.361,0.382,1,0,0,0.0,0.05,low,0
22,salaried,38810,2,0,post_graduate,urban,19108,4853,0.254,3,2887,1364,0.422,0.107,1,0,0,0.08,0.05,low,1
51,self_employed,43085,33,0,high_school,metro,20562,12137,0.59,1,1538,961,0.268,0.572,1,1,1,0.45,0.3,medium,0
20,salaried,51438,1,1,post_graduate,metro,34539,16360,0.474,2,3253,848,0.198,0.241,0,0,0,0.08,0.05,low,0
30,self_employed,30548,12,1,graduate,metro,15426,2373,0.154,1,1757,990,0.389,0.31,0,0,0,0.07,0.05,low,0
36,salaried,39750,8,3,high_school,rural,32812,16701,0.509,2,2154,1252,0.378,0.35,3,0,0,0.09,0.35,medium,1
49,self_employed,47187,24,0,high_school,urban,29931,8443,0.282,1,3481,1624,0.413,0.115,1,1,0,0.35,0.3,medium,0
20,salaried,92706,2,1,graduate,urban,65266,59867,0.917,1,3591,5189,0.672,0.535,0,1,0,0.41,0.9,high,0
46,salaried,68273,18,0,high_school,urban,53488,14652,0.274,4,4824,2630,0.462,0.152,0,0,0,0.05,0.05,low,0
35,salaried,65959,4,0,graduate,urban,31870,5431,0.17,3,4098,2547,0.463,0.254,0,0,1,0.03,0.05,low,0
25,salaried,91624,6,1,high_school,urban,40330,9842,0.244,3,4042,1350,0.177,0.471,1,0,0,0.05,0.05,low,0
39,salaried,55899,12,1,high_school,urban,61062,21642,0.354,1,3963,3250,0.698,0.149,1,1,0,0.39,0.65,high,1
36,self_employed,72782,9,1,graduate,metro,50245,15751,0.313,1,3727,3418,0.564,0.386,0,0,1,0.06,0.05,low,0
28,self_employed,56862,8,0,graduate,urban,38147,18988,0.498,3,3824,2967,0.626,0.193,1,1,0,0.31,0.65,high,0
35,salaried,68369,12,1,graduate,urban,22701,2778,0.122,5,3386,1986,0.349,0.406,1,0,0,0.07,0.05,low,0
31,salaried,44739,8,2,graduate,urban,33472,6455,0.193,1,3077,1496,0.401,0.175,0,0,1,0.05,0.05,low,0
36,salaried,17687,14,1,post_graduate,metro,14127,5442,0.385,5,1058,609,0.413,0.282,1,0,0,0.06,0.05,low,0
41,salaried,55986,13,1,post_graduate,metro,44954,5779,0.129,1,2195,1009,0.216,0.53,1,0,0,0.02,0.05,low,0
50,salaried,121950,25,1,graduate,urban,114185,64046,0.561,2,7366,5220,0.514,0.275,0,1,0,0.44,0.3,medium,0
22,salaried,95140,3,4,graduate,urban,43739,9019,0.206,2,3929,5088,0.642,0.504,0,0,0,0.02,0.4,medium,1
56,salaried,97022,34,1,high_school,rural,51130,15421,0.302,1,4899,1602,0.198,0.394,0,1,0,0.22,0.3,medium,0
18,salaried,111086,1,0,high_school,metro,114380,14991,0.131,2,4491,1405,0.152,0.515,2,0,1,0.05,0.35,medium,1
33,salaried,62587,3,0,graduate,urban,72128,8076,0.112,2,2143,2831,0.543,0.589,0,0,0,0.02,0.05,low,0
40,salaried,66082,22,1,post_graduate,urban,27909,18224,0.653,2,2786,1453,0.264,0.494,1,0,0,0.0,0.05,low,0
37,unemployed,43966,10,1,high_school,rural,32881,10262,0.312,2,2448,1737,0.474,0.332,1,0,1,0.07,0.05,low,0
28,salaried,51121,9,1,high_school,urban,25190,5193,0.206,3,2729,2204,0.517,0.359,0,0,0,0.02,0.05,low,0
32,self_employed,81461,10,1,high_school,urban,28842,16252,0.563,0,4417,1990,0.293,0.349,1,1,0,0.42,0.3,medium,0
30,salaried,109309,4,3,post_graduate,urban,64815,56021,0.864,4,4771,5366,0.589,0.476,1,0,0,0.05,0.3,medium,0
29,salaried,55841,8,1,graduate,urban,23973,7900,0.33,1,3455,2000,0.43,0.258,2,0,1,0.03,0.35,medium,1
43,self_employed,47805,10,1,high_school,rural,44886,26216,0.584,0,2996,2475,0.621,0.248,1,0,1,0.07,0.4,medium,0
38,self_employed,59889,19,0,graduate,metro,46734,28226,0.604,1,2889,2784,0.558,0.421,0,0,0,0.03,0.05,low,0
28,unemployed,80870,3,0,graduate,metro,34729,15650,0.451,0,5664,4186,0.621,0.16,3,0,1,0.08,0.7,high,1
43,salaried,29087,24,3,graduate,rural,8968,2890,0.322,1,1750,271,0.112,0.278,2,0,0,0.03,0.35,medium,0
38,salaried,18994,5,0,high_school,urban,19513,15389,0.789,1,1197,389,0.246,0.244,0,0,0,0.1,0.3,medium,0
43,self_employed,45466,3,2,post_graduate,urban,20849,3533,0.169,2,2040,583,0.154,0.462,1,0,1,0.06,0.05,low,0
41,salaried,32521,16,1,graduate,urban,27499,19041,0.692,2,1084,989,0.365,0.6,1,0,0,0.08,0.05,low,0
26,salaried,46440,1,2,graduate,metro,28013,8649,0.309,0,3222,2453,0.634,0.167,2,1,0,0.49,0.95,high,1
29,salaried,55609,3,1,high_school,urban,45985,12698,0.276,2,3759,1763,0.38,0.189,1,0,0,0.03,0.05,low,0
42,salaried,47732,12,0,graduate,urban,27879,3347,0.12,2,1836,2425,0.61,0.538,0,0,0,0.07,0.4,medium,1
41,self_employed,123776,9,0,graduate,metro,46817,14737,0.315,3,6055,3056,0.296,0.413,0,0,0,0.07,0.05,low,0
34,salaried,70500,5,5,graduate,metro,35296,6239,0.177,5,4292,1784,0.304,0.269,0,0,0,0.02,0.05,low,0
36,salaried,69580,12,1,high_school,rural,32650,20412,0.625,2,4209,3695,0.637,0.274,2,0,1,0.04,0.7,high,0
47,salaried,81724,26,1,post_graduate,metro,55998,25226,0.45,1,5653,2421,0.355,0.17,0,0,1,0.03,0.05,low,0
29,salaried,33880,2,0,high_school,rural,30236,14911,0.493,2,1327,1620,0.574,0.53,0,0,0,0.06,0.05,low,0
40,salaried,100665,18,2,graduate,metro,54099,15584,0.288,0,5158,2029,0.242,0.385,2,0,0,0.03,0.35,medium,1
32,salaried,57648,4,0,post_graduate,urban,17920,10065,0.562,5,2155,3215,0.669,0.551,1,0,0,0.03,0.4,medium,1
32,salaried,83720,12,0,graduate,rural,64216,12519,0.195,1,4149,3102,0.445,0.405,0,0,0,0.02,0.05,low,0
45,self_employed,35033,23,0,graduate,urban,29609,7649,0.258,1,1189,1622,0.556,0.593,1,0,0,0.04,0.05,low,0
43,salaried,27532,4,0,graduate,urban,32118,7219,0.225,1,1948,352,0.153,0.151,2,0,0,0.02,0.35,medium,1
43,salaried,90124,23,2,graduate,urban,74850,38822,0.519,2,4983,2971,0.396,0.337,3,0,0,0.1,0.35,medium,0
48,self_employed,72272,16,1,post_graduate,metro,52328,12274,0.235,1,4968,3858,0.641,0.175,0,0,0,0.02,0.4,medium,0
35,self_employed,38138,16,0,high_school,metro,31122,15944,0.512,3,1366,1990,0.626,0.57,0,0,0,0.09,0.4,medium,0
41,salaried,38760,1,2,graduate,rural,43996,1580,0.036,4,1659,413,0.128,0.486,1,0,0,0.04,0.05,low,0
31,salaried,105105,6,0,graduate,urban,109891,83591,0.761,2,4639,2471,0.282,0.47,0,0,0,0.04,0.3,medium,1
38,salaried,33034,2,2,graduate,urban,19512,5915,0.303,2,1633,1007,0.366,0.407,0,0,0,0.02,0.05,low,0
33,self_employed,136126,14,0,graduate,metro,69904,38739,0.554,2,9091,2306,0.203,0.199,1,0,0,0.06,0.05,low,1
35,unemployed,38165,3,1,graduate,metro,20470,698,0.034,2,1886,1711,0.538,0.407,0,0,0,0.07,0.05,low,0
40,self_employed,82388,21,0,post_graduate,metro,62118,4902,0.079,1,3448,1446,0.211,0.498,0,0,0,0.05,0.05,low,0
26,salaried,50801,1,1,post_graduate,urban,49258,37600,0.763,2,1830,1303,0.308,0.568,1,0,0,0.01,0.3,medium,0
55,self_employed,80950,20,1,graduate,urban,60947,9937,0.163,2,2966,3359,0.498,0.56,0,0,0,0.09,0.05,low,1
24,salaried,45612,1,0,graduate,urban,16466,7876,0.478,2,2964,1479,0.389,0.22,1,0,0,0.1,0.05,low,0
22,salaried,55193,4,0,post_graduate,rural,52500,32599,0.621,5,2862,2498,0.543,0.378,0,0,0,0.04,0.05,low,0
46,salaried,61111,22,0,high_school,metro,62661,11607,0.185,2,3886,3446,0.677,0.237,1,1,0,0.32,0.65,high,1
42,unemployed,36275,21,1,high_school,metro,20333,14093,0.693,3,2240,513,0.17,0.259,1,0,1,0.05,0.05,low,0
41,salaried,86717,1,1,graduate,metro,77846,35019,0.45,0,3379,3799,0.526,0.532,0,0,0,0.03,0.05,low,0
41,self_employed,46322,20,1,post_graduate,urban,31681,17331,0.547,2,1819,919,0.238,0.529,2,0,0,0.01,0.35,medium,0
34,salaried,53407,6,0,post_graduate,metro,58758,18010,0.307,2,3461,1551,0.348,0.222,0,0,1,0.05,0.05,low,0
26,salaried,36418,5,1,graduate,rural,38628,6756,0.175,1,2308,363,0.12,0.239,2,0,0,0.08,0.35,medium,0
35,salaried,16627,15,3,high_school,metro,12850,6764,0.526,2,816,251,0.181,0.411,1,0,0,0.0,0.05,low,0
28,salaried,54419,10,1,graduate,rural,50193,30588,0.609,1,1989,1323,0.292,0.561,0,0,0,0.06,0.05,low,0
44,self_employed,200047,26,0,high_school,urban,219054,103499,0.472,2,6769,5087,0.305,0.594,0,0,0,0.09,0.05,low,0
33,salaried,88636,14,1,high_school,rural,66135,50526,0.764,4,4018,4725,0.64,0.456,0,0,0,0.02,0.65,high,1
26,self_employed,59300,4,1,post_graduate,urban,34508,19855,0.575,3,1999,2693,0.545,0.595,0,0,0,0.02,0.05,low,0
31,self_employed,52499,9,2,high_school,rural,51359,38436,0.748,1,2253,2989,0.683,0.485,0,0,0,0.08,0.4,medium,0
39,unemployed,60550,21,2,post_graduate,metro,30157,23507,0.779,3,3076,2318,0.459,0.39,0,0,1,0.03,0.3,medium,1
29,salaried,78712,8,0,graduate,urban,51137,31809,0.622,3,3021,1607,0.245,0.539,0,1,0,0.46,0.3,medium,1
26,salaried,33176,1,1,graduate,rural,35802,18103,0.506,4,1250,819,0.296,0.548,0,0,0,0.04,0.05,low,0
37,salaried,104522,5,2,high_school,metro,99502,16313,0.164,3,7388,2542,0.292,0.152,0,0,0,0.04,0.05,low,0
37,unemployed,85621,6,2,graduate,metro,56803,49668,0.874,1,4942,2111,0.296,0.307,1,0,0,0.09,0.3,medium,0
29,unemployed,85741,1,1,high_school,urban,42293,9656,0.228,2,6196,3599,0.504,0.133,1,0,0,0.06,0.05,low,0
30,salaried,74550,11,4,post_graduate,rural,46248,15980,0.346,2,3559,2599,0.418,0.427,0,0,0,0.04,0.05,low,0
37,self_employed,60464,16,2,post_graduate,urban,33599,7916,0.236,2,3721,1669,0.331,0.262,1,0,0,0.05,0.05,low,0
20,salaried,83820,2,4,graduate,urban,38429,13840,0.36,3,3508,1323,0.189,0.498,0,0,0,0.1,0.05,low,0
20,salaried,80491,1,2,high_school,metro,77995,13536,0.174,2,4756,759,0.113,0.291,0,0,0,0.01,0.05,low,0
27,salaried,50160,7,1,post_graduate,metro,26427,12849,0.486,0,1942,966,0.231,0.535,3,0,0,0.02,0.35,medium,0
32,self_employed,44945,4,2,graduate,rural,31854,10885,0.342,1,1502,616,0.164,0.599,0,0,1,0.1,0.05,low,0
38,salaried,63002,18,1,high_school,metro,40779,17389,0.426,1,4545,2999,0.571,0.134,1,0,0,0.1,0.05,low,0
49,self_employed,129898,21,2,graduate,urban,153782,85492,0.556,1,7333,1813,0.167,0.323,2,0,0,0.02,0.35,medium,1
43,self_employed,32223,3,0,post_graduate,rural,21008,1739,0.083,1,2318,1435,0.534,0.137,0,0,0,0.01,0.05,low,0
33,self_employed,28745,6,2,high_school,metro,10692,5568,0.521,3,1357,793,0.331,0.434,0,0,1,0.04,0.05,low,0
34,salaried,65015,8,3,high_school,urban,24760,7024,0.284,0,3055,780,0.144,0.436,1,0,1,0.0,0.05,low,0
24,salaried,61417,3,2,post_graduate,metro,51079,16312,0.319,2,3072,3007,0.588,0.4,0,0,0,0.07,0.05,low,0
34,salaried,65295,8,1,high_school,urban,54810,21726,0.396,1,4097,2436,0.448,0.247,0,0,0,0.01,0.05,low,0
32,salaried,67641,2,1,high_school,metro,45785,9445,0.206,2,3849,1361,0.241,0.317,0,0,0,0.01,0.05,low,0
38,salaried,53551,10,0,graduate,urban,36878,14525,0.394,1,3849,2841,0.637,0.137,0,0,0,0.05,0.4,medium,1
26,unemployed,126112,1,0,post_graduate,metro,43954,20191,0.459,1,4337,1336,0.127,0.587,1,0,0,0.1,0.05,low,0
40,salaried,26891,20,0,graduate,urban,20568,9061,0.441,1,1689,495,0.221,0.246,0,0,0,0.04,0.05,low,1
50,salaried,39567,17,1,post_graduate,urban,29844,7906,0.265,2,1863,1817,0.551,0.435,0,0,0,0.04,0.05,low,0
33,salaried,56861,8,3,graduate,metro,24711,7500,0.304,2,2322,2490,0.525,0.51,0,1,0,0.48,0.3,medium,0
39,salaried,26328,11,3,high_school,urban,10358,724,0.07,2,1437,600,0.273,0.345,2,1,0,0.54,0.6,high,1
41,salaried,54834,5,2,post_graduate,metro,22548,4275,0.19,2,2981,627,0.137,0.348,1,0,0,0.04,0.05,low,0
30,salaried,137411,10,1,graduate,urban,53717,6421,0.12,1,5364,7040,0.615,0.532,1,0,0,0.04,0.4,medium,0
37,unemployed,60502,13,1,high_school,metro,51350,28344,0.552,1,2525,1453,0.288,0.499,0,0,0,0.02,0.05,low,0
35,salaried,67194,5,1,graduate,urban,32040,7502,0.234,2,3382,1217,0.217,0.396,1,0,0,0.05,0.05,low,0
35,unemployed,31885,13,1,graduate,metro,16780,6593,0.393,2,1605,1088,0.409,0.396,0,1,1,0.36,0.3,medium,0
27,self_employed,43994,6,2,high_school,urban,20070,7791,0.388,3,2048,2368,0.646,0.441,1,0,0,0.03,0.4,medium,1
35,salaried,49632,5,1,high_school,metro,57674,17965,0.311,2,1961,521,0.126,0.526,1,0,0,0.02,0.05,low,0
39,unemployed,51079,9,2,graduate,urban,54611,8785,0.161,1,1711,2381,0.559,0.598,1,0,0,0.03,0.05,low,0
49,salaried,113643,27,1,post_graduate,metro,57667,16942,0.294,2,8382,4199,0.443,0.115,0,0,0,0.05,0.05,low,0
44,self_employed,79129,16,2,graduate,rural,47066,30458,0.647,2,5748,2342,0.355,0.128,3,0,1,0.01,0.35,medium,0
56,salaried,34347,2,0,post_graduate,rural,16792,9307,0.554,2,1837,1564,0.546,0.358,0,0,0,0.02,0.05,low,1
27,self_employed,67727,1,0,high_school,metro,50300,34627,0.688,2,5065,3835,0.679,0.103,0,0,0,0.09,0.4,medium,0
43,self_employed,76811,8,0,high_school,urban,24398,18016,0.738,2,4716,1520,0.237,0.263,0,1,0,0.56,0.3,medium,1
36,self_employed,105881,11,1,high_school,metro,95740,31981,0.334,1,3833,1642,0.186,0.566,1,0,1,0.01,0.05,low,0
56,self_employed,131962,28,2,high_school,metro,101721,66081,0.65,0,5045,7122,0.648,0.541,1,0,0,0.07,0.4,medium,0
26,salaried,36042,4,4,high_school,urban,39962,11913,0.298,1,2577,1505,0.501,0.142,0,0,0,0.01,0.05,low,0
26,salaried,39917,4,0,post_graduate,urban,17880,7351,0.411,5,2378,1206,0.363,0.285,1,0,0,0.07,0.05,low,0
29,salaried,31927,7,1,post_graduate,urban,32683,12113,0.371,4,2185,1181,0.444,0.179,1,0,0,0.07,0.05,low,0
18,salaried,53262,1,1,post_graduate,metro,53941,27546,0.511,3,3768,2429,0.547,0.151,1,0,0,0.07,0.05,low,0
29,self_employed,75597,10,2,high_school,metro,31332,20011,0.639,2,3930,3551,0.564,0.376,0,0,0,0.07,0.05,low,0
27,salaried,98092,8,1,post_graduate,metro,64613,23189,0.359,2,3468,5329,0.652,0.576,1,0,0,0.01,0.4,medium,0
36,unemployed,57643,9,4,graduate,urban,26120,10420,0.399,2,2373,1710,0.356,0.506,0,0,0,0.07,0.05,low,0
38,salaried,51025,7,0,high_school,urban,27004,8945,0.331,2,1842,1173,0.276,0.567,2,0,0,0.01,0.35,medium,0
53,self_employed,64594,31,2,post_graduate,urban,34681,13686,0.395,0,2661,2604,0.484,0.506,2,0,0,0.03,0.35,medium,1
44,salaried,39435,26,1,graduate,metro,31572,13652,0.432,1,1989,1148,0.349,0.395,0,0,1,0.09,0.05,low,0
29,self_employed,170206,5,1,high_school,metro,114083,57713,0.506,1,6511,6478,0.457,0.541,0,0,0,0.05,0.05,low,0
26,unemployed,26800,8,0,graduate,metro,30899,6187,0.2,0,1079,786,0.352,0.517,1,0,0,0.1,0.05,low,0
39,salaried,65668,15,1,high_school,metro,27169,6057,0.223,4,3408,1049,0.192,0.377,0,0,0,0.01,0.05,low,0
21,salaried,164687,2,0,graduate,metro,193725,117100,0.604,2,7823,5237,0.382,0.43,1,0,0,0.05,0.05,low,1
53,self_employed,60078,31,1,graduate,rural,30494,13621,0.447,0,3173,2576,0.515,0.366,1,0,0,0.01,0.05,low,0
46,salaried,54446,20,1,post_graduate,rural,54205,16979,0.313,2,2788,2629,0.579,0.386,2,0,0,0.06,0.35,medium,1
30,salaried,50075,9,1,high_school,urban,30299,23573,0.778,0,3013,1652,0.396,0.278,0,0,0,0.01,0.3,medium,0
18,salaried,54710,1,3,graduate,urban,23458,1374,0.059,3,3960,907,0.199,0.131,1,0,0,0.02,0.05,low,1
48,salaried,118945,12,1,graduate,metro,127520,46803,0.367,2,4499,3457,0.349,0.546,2,0,0,0.03,0.35,medium,0
33,salaried,19812,1,1,graduate,rural,11450,3946,0.345,1,742,944,0.572,0.551,1,0,0,0.07,0.05,low,0
47,salaried,128890,23,1,graduate,metro,115094,67649,0.588,1,8876,3734,0.348,0.174,0,0,0,0.02,0.05,low,0
19,salaried,29378,1,2,graduate,rural,23790,9366,0.394,3,1599,1267,0.518,0.347,2,0,1,0.08,0.35,medium,1
29,salaried,52400,6,0,post_graduate,urban,37968,13992,0.369,3,3419,1765,0.404,0.217,0,0,0,0.01,0.05,low,1
35,unemployed,48309,8,3,post_graduate,metro,36049,19198,0.533,3,2043,985,0.245,0.493,0,0,0,0.0,0.05,low,0
35,salaried,80360,5,1,post_graduate,rural,77066,12074,0.157,0,5453,3868,0.578,0.186,0,1,0,0.35,0.3,medium,1
30,unemployed,26928,1,0,post_graduate,metro,10205,4205,0.412,0,1934,337,0.15,0.138,0,0,0,0.1,0.05,low,0
41,salaried,75439,1,0,graduate,urban,67997,27613,0.406,3,4512,2608,0.415,0.282,0,0,0,0.01,0.05,low,0
24,salaried,164745,1,1,post_graduate,urban,182246,121637,0.667,3,6218,3093,0.225,0.547,1,1,0,0.34,0.3,medium,1
33,salaried,30285,15,0,graduate,metro,10660,8765,0.822,1,2139,353,0.14,0.152,0,0,1,0.08,0.3,medium,0
36,salaried,65831,10,2,graduate,urban,28082,18416,0.656,4,4368,2204,0.402,0.204,0,0,0,0.03,0.05,low,0
40,salaried,43002,22,1,graduate,urban,40635,12884,0.317,0,2778,1432,0.4,0.225,3,0,0,0.07,0.35,medium,0
42,salaried,74083,10,0,graduate,urban,51380,10213,0.199,1,2582,3235,0.524,0.582,0,0,0,0.02,0.05,low,0
23,salaried,60450,5,0,high_school,metro,40090,10436,0.26,3,4027,2754,0.547,0.201,0,0,0,0.05,0.05,low,0
19,salaried,43445,1,1,post_graduate,rural,18388,4317,0.235,2,1697,1942,0.536,0.531,1,0,0,0.03,0.05,low,0
47,self_employed,76415,15,0,graduate,metro,57776,8354,0.145,2,3255,2201,0.346,0.489,1,0,0,0.05,0.05,low,0
38,salaried,147587,17,2,high_school,metro,61084,39060,0.639,1,8468,5891,0.479,0.311,0,0,0,0.08,0.05,low,0
27,salaried,54423,6,1,graduate,metro,39672,23757,0.599,4,2414,2023,0.446,0.468,1,0,0,0.08,0.05,low,0
50,self_employed,85808,6,1,high_school,metro,84714,32405,0.383,2,5224,2523,0.353,0.269,1,0,0,0.05,0.05,low,0
36,salaried,31362,3,1,high_school,metro,16698,5550,0.332,2,1839,1197,0.458,0.296,0,0,0,0.09,0.05,low,0
46,salaried,37115,13,1,high_school,rural,27194,14737,0.542,1,1404,2067,0.668,0.546,0,0,0,0.03,0.4,medium,1
35,unemployed,75826,16,1,graduate,metro,90446,34293,0.379,4,4600,1363,0.216,0.272,0,0,0,0.02,0.05,low,0
55,salaried,125750,8,5,graduate,metro,115436,36028,0.312,5,9032,6742,0.643,0.138,0,0,0,0.06,0.4,medium,0
52,self_employed,71525,17,0,post_graduate,metro,75617,24434,0.323,2,2864,787,0.132,0.519,2,0,0,0.06,0.35,medium,1
32,unemployed,51198,1,1,graduate,urban,34474,21943,0.637,2,2980,1216,0.285,0.302,0,0,0,0.0,0.05,low,0
44,salaried,59852,22,2,graduate,rural,59317,12904,0.218,0,2847,1361,0.273,0.429,1,0,0,0.06,0.05,low,0
